input_fn, RMSE_avgs,MSE_avgs,steps,batch_fractions,reg_types,reg_params,timings
50000,3116.5828882154292,10031948.169046797,0.01,0.01,,0,58.32444977760315
50000,3116.8075255201825,10032778.554492956,0.01,0.26,,0,51.146399974823
50000,3116.8262963751645,10032936.533830414,0.01,0.51,,0,50.79381704330444
50000,3047.257424937312,9617471.5927657038,0.04,0.01,,0,53.586238861083984
50000,3047.5663681739256,9618405.2344520781,0.04,0.26,,0,45.73960494995117
50000,3047.6142699165366,9618746.4009160753,0.04,0.51,,0,49.036972999572754
50000,3024.954919825278,9484496.7005207874,0.07,0.01,,0,42.668346881866455
50000,3024.7754408475912,9482854.5267680902,0.07,0.26,,0,262.287446975708
50000,3024.8243898010774,9483173.3393767364,0.07,0.51,,0,70.60907983779907
100000,3018.1824357878504,9268032.0746890064,0.01,0.01,,0,83.02695989608765
100000,3018.2951908375976,9268459.7725450508,0.01,0.26,,0,74.23375606536865
100000,3018.3391087826021,9268741.4710237645,0.01,0.51,,0,74.38015794754028
100000,2948.675372402568,8860138.5895512197,0.04,0.01,,0,63.465867042541504
100000,2948.7610437733524,8860217.5985375959,0.04,0.26,,0,78.23856091499329
100000,2948.8479896653471,8860752.6864143517,0.04,0.51,,0,73.30596613883972
100000,2925.8059524869909,8727273.8562910296,0.07,0.01,,0,68.8080518245697
100000,2925.769680977633,8726747.0435185693,0.07,0.26,,0,69.59656691551208
100000,2925.8445431468076,8727196.9773083795,0.07,0.51,,0,72.9025330543518
50000,3116.5828882154292,10031948.169046797,0.01,0.01,,0,56.894912004470825
50000,3116.8075255201825,10032778.554492956,0.01,0.26,,0,46.9439480304718
50000,3116.8262963751645,10032936.533830414,0.01,0.51,,0,46.83661198616028
50000,3047.257424937312,9617471.5927657038,0.04,0.01,,0,41.64916205406189
50000,3047.5663681739256,9618405.2344520781,0.04,0.26,,0,43.885469913482666
50000,3047.6142699165366,9618746.4009160753,0.04,0.51,,0,45.570582151412964
50000,3024.954919825278,9484496.7005207874,0.07,0.01,,0,39.97732996940613
50000,3024.7754408475912,9482854.5267680902,0.07,0.26,,0,43.75325918197632
50000,3024.8243898010774,9483173.3393767364,0.07,0.51,,0,44.89962387084961
100000,3018.1824357878504,9268032.0746890064,0.01,0.01,,0,78.75010895729065
100000,3018.2951908375976,9268459.7725450508,0.01,0.26,,0,70.50567507743835
